moment,value
"Mean market excess return, annual pct",8.552224927331
"Market return volatility, annual pct",26.651894106553044
Mean industry book-to-market,0.454185132604381
Volatility of industry book-to-market,0.09084878006907326
Mean cross-sectional B/M dispersion,0.14522786299094334
"Mean firm return, annual pct",10.820526032476181
"Mean firm return volatility, annual pct",39.36901005521497
"HML mean return, annual pct",2.130739841672154
"HML volatility, annual pct",3.6714260518580515
"SMB mean return, annual pct",-8.690144223917265
"SMB volatility, annual pct",3.7474210285610923
