moment,value
"Mean market excess return, annual pct",6.564241882912258
"Market return volatility, annual pct",19.030741248955916
Mean industry book-to-market,1.1631689808613674
Volatility of industry book-to-market,0.14118162586214097
Mean cross-sectional B/M dispersion,37.79340074037095
"Mean firm return, annual pct",333.10187002288853
"Mean firm return volatility, annual pct",1998.7518755161966
"HML mean return, annual pct",-0.22271527160623444
"HML volatility, annual pct",44.51243248968193
"SMB mean return, annual pct",-6.446326694410301
"SMB volatility, annual pct",30.015322621707107
